Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Ryoshi Token USD,RYOSHI24433-USD,2023-04-27,0.0,0.0,0.0,0.0,0.0,26571
Ryoshi Token USD,RYOSHI24433-USD,2023-04-28,0.0,0.0,0.0,0.0,0.0,15732
Ryoshi Token USD,RYOSHI24433-USD,2023-04-29,0.0,0.0,0.0,0.0,0.0,3463
Ryoshi Token USD,RYOSHI24433-USD,2023-04-30,0.0,0.0,0.0,0.0,0.0,2990
Ryoshi Token USD,RYOSHI24433-USD,2023-05-01,0.0,0.0,0.0,0.0,0.0,7500
Ryoshi Token USD,RYOSHI24433-USD,2023-05-02,0.0,0.0,0.0,0.0,0.0,2919
Ryoshi Token USD,RYOSHI24433-USD,2023-05-03,0.0,0.0,0.0,0.0,0.0,476
Ryoshi Token USD,RYOSHI24433-USD,2023-05-04,0.0,0.0,0.0,0.0,0.0,1191
Ryoshi Token USD,RYOSHI24433-USD,2023-05-05,0.0,0.0,0.0,0.0,0.0,7246
Ryoshi Token USD,RYOSHI24433-USD,2023-05-06,0.0,0.0,0.0,0.0,0.0,2104
Ryoshi Token USD,RYOSHI24433-USD,2023-05-07,0.0,0.0,0.0,0.0,0.0,4476
Ryoshi Token USD,RYOSHI24433-USD,2023-05-08,0.0,0.0,0.0,0.0,0.0,888
Ryoshi Token USD,RYOSHI24433-USD,2023-05-09,0.0,0.0,0.0,0.0,0.0,1832
Ryoshi Token USD,RYOSHI24433-USD,2023-05-10,0.0,0.0,0.0,0.0,0.0,1413
Ryoshi Token USD,RYOSHI24433-USD,2023-05-11,0.0,0.0,0.0,0.0,0.0,319
Ryoshi Token USD,RYOSHI24433-USD,2023-05-12,0.0,0.0,0.0,0.0,0.0,519
Ryoshi Token USD,RYOSHI24433-USD,2023-05-13,0.0,0.0,0.0,0.0,0.0,128
Ryoshi Token USD,RYOSHI24433-USD,2023-05-14,0.0,0.0,0.0,0.0,0.0,77
Ryoshi Token USD,RYOSHI24433-USD,2023-05-15,0.0,0.0,0.0,0.0,0.0,450
Ryoshi Token USD,RYOSHI24433-USD,2023-05-16,0.0,0.0,0.0,0.0,0.0,2034
Ryoshi Token USD,RYOSHI24433-USD,2023-05-17,0.0,0.0,0.0,0.0,0.0,1009
Ryoshi Token USD,RYOSHI24433-USD,2023-05-18,0.0,0.0,0.0,0.0,0.0,2871
Ryoshi Token USD,RYOSHI24433-USD,2023-05-19,0.0,0.0,0.0,0.0,0.0,1829
Ryoshi Token USD,RYOSHI24433-USD,2023-05-20,0.0,0.0,0.0,0.0,0.0,1402
Ryoshi Token USD,RYOSHI24433-USD,2023-05-21,0.0,0.0,0.0,0.0,0.0,242
Ryoshi Token USD,RYOSHI24433-USD,2023-05-22,0.0,0.0,0.0,0.0,0.0,2069
Ryoshi Token USD,RYOSHI24433-USD,2023-05-23,0.0,0.0,0.0,0.0,0.0,610
Ryoshi Token USD,RYOSHI24433-USD,2023-05-24,0.0,0.0,0.0,0.0,0.0,7026
Ryoshi Token USD,RYOSHI24433-USD,2023-05-25,0.0,0.0,0.0,0.0,0.0,1038
Ryoshi Token USD,RYOSHI24433-USD,2023-05-26,0.0,0.0,0.0,0.0,0.0,365
Ryoshi Token USD,RYOSHI24433-USD,2023-05-27,0.0,0.0,0.0,0.0,0.0,1190
Ryoshi Token USD,RYOSHI24433-USD,2023-05-28,0.0,0.0,0.0,0.0,0.0,493
Ryoshi Token USD,RYOSHI24433-USD,2023-05-29,0.0,0.0,0.0,0.0,0.0,1175
Ryoshi Token USD,RYOSHI24433-USD,2023-05-30,0.0,0.0,0.0,0.0,0.0,1469
Ryoshi Token USD,RYOSHI24433-USD,2023-05-31,0.0,0.0,0.0,0.0,0.0,560
Ryoshi Token USD,RYOSHI24433-USD,2023-06-01,0.0,0.0,0.0,0.0,0.0,593
Ryoshi Token USD,RYOSHI24433-USD,2023-06-02,0.0,0.0,0.0,0.0,0.0,152
Ryoshi Token USD,RYOSHI24433-USD,2023-06-03,0.0,0.0,0.0,0.0,0.0,530
Ryoshi Token USD,RYOSHI24433-USD,2023-06-04,0.0,0.0,0.0,0.0,0.0,419
Ryoshi Token USD,RYOSHI24433-USD,2023-06-05,0.0,0.0,0.0,0.0,0.0,409
Ryoshi Token USD,RYOSHI24433-USD,2023-06-06,0.0,0.0,0.0,0.0,0.0,512
Ryoshi Token USD,RYOSHI24433-USD,2023-06-07,0.0,0.0,0.0,0.0,0.0,868
Ryoshi Token USD,RYOSHI24433-USD,2023-06-08,0.0,0.0,0.0,0.0,0.0,379
Ryoshi Token USD,RYOSHI24433-USD,2023-06-09,0.0,0.0,0.0,0.0,0.0,81
Ryoshi Token USD,RYOSHI24433-USD,2023-06-10,0.0,0.0,0.0,0.0,0.0,261
Ryoshi Token USD,RYOSHI24433-USD,2023-06-11,0.0,0.0,0.0,0.0,0.0,93
Ryoshi Token USD,RYOSHI24433-USD,2023-06-12,0.0,0.0,0.0,0.0,0.0,110
Ryoshi Token USD,RYOSHI24433-USD,2023-06-13,0.0,0.0,0.0,0.0,0.0,1059
Ryoshi Token USD,RYOSHI24433-USD,2023-06-14,0.0,0.0,0.0,0.0,0.0,45
Ryoshi Token USD,RYOSHI24433-USD,2023-06-15,0.0,0.0,0.0,0.0,0.0,80
Ryoshi Token USD,RYOSHI24433-USD,2023-06-16,0.0,0.0,0.0,0.0,0.0,39
Ryoshi Token USD,RYOSHI24433-USD,2023-06-17,0.0,0.0,0.0,0.0,0.0,103
Ryoshi Token USD,RYOSHI24433-USD,2023-06-18,0.0,0.0,0.0,0.0,0.0,3437
Ryoshi Token USD,RYOSHI24433-USD,2023-06-19,0.0,0.0,0.0,0.0,0.0,520
Ryoshi Token USD,RYOSHI24433-USD,2023-06-20,0.0,0.0,0.0,0.0,0.0,1186
